profiel_naam,profiel_type,orientatie,lengte_mm,zijde,gaten_x@d_mm
Profiel 27,20x40,LIGGER,2668.0,BOVENKANT Y10,428.0@4.3 | 876.0@4.3 | 1324.0@4.3 | 2018.0@4.3
Profiel 34,20x20,LIGGER,1334.0,BOVENKANT Y10,684.0@4.3
Profiel 35,20x20,LIGGER,1334.0,BOVENKANT Y10,684.0@4.3
Profiel 40,20x40,STAANDER,370.0,ZIJKANT Y10,60.0@4.3
Profiel 41,20x40,STAANDER,370.0,ZIJKANT Y30,60.0@4.3
Profiel 44,20x40,LIGGER,2668.0,ZIJKANT Y10,428.0@4.3 | 876.0@4.3 | 1324.0@4.3
Profiel 44,20x40,LIGGER,2668.0,ZIJKANT Y30,428.0@4.3 | 876.0@4.3 | 1324.0@4.3 | 1794.0@4.3
Profiel 45,20x20,LIGGER,382.0,BOVENKANT Y10,100.0@4.3 | 120.0@4.3 | 302.0@4.3 | 322.0@4.3 | 352.0@4.3 | 372.0@4.3
Profiel 46,20x20,LIGGER,382.0,BOVENKANT Y10,100.0@4.3 | 120.0@4.3 | 302.0@4.3 | 322.0@4.3 | 352.0@4.3 | 372.0@4.3
Profiel 47,20x40,STAANDER,1280.0,BOVENKANT Y10,390.0@4.3 | 711.0@4.3 | 997.0@4.3
Profiel 47,20x40,STAANDER,1280.0,ZIJKANT Y10,390.0@4.3 | 711.0@4.3 | 997.0@4.3
Profiel 47,20x40,STAANDER,1280.0,ZIJKANT Y30,390.0@4.3 | 711.0@4.3 | 997.0@4.3
Profiel 48,20x40,STAANDER,1280.0,BOVENKANT Y10,390.0@4.3 | 711.0@4.3 | 997.0@4.3
Profiel 48,20x40,STAANDER,1280.0,ZIJKANT Y10,390.0@4.3 | 711.0@4.3 | 997.0@4.3
Profiel 48,20x40,STAANDER,1280.0,ZIJKANT Y30,390.0@4.3 | 711.0@4.3 | 997.0@4.3
Profiel 49,20x40,STAANDER,1300.0,BOVENKANT Y10,10.0@4.3 | 410.0@4.3 | 731.0@4.3 | 1017.0@4.3
Profiel 49,20x40,STAANDER,1300.0,ZIJKANT Y10,10.0@4.3 | 410.0@4.3 | 731.0@4.3 | 1017.0@4.3
Profiel 49,20x40,STAANDER,1300.0,ZIJKANT Y30,10.0@4.3 | 410.0@4.3 | 731.0@4.3 | 1017.0@4.3
Profiel 50,20x40,STAANDER,1300.0,BOVENKANT Y10,10.0@4.3 | 410.0@4.3 | 731.0@4.3 | 1017.0@4.3
Profiel 50,20x40,STAANDER,1300.0,ZIJKANT Y10,10.0@4.3 | 410.0@4.3 | 731.0@4.3 | 1017.0@4.3
Profiel 50,20x40,STAANDER,1300.0,ZIJKANT Y30,10.0@4.3 | 410.0@4.3 | 731.0@4.3 | 1017.0@4.3
Profiel 51,20x20,LIGGER,342.0,BOVENKANT Y10,100.0@4.3 | 120.0@4.3
Profiel 52,20x20,LIGGER,342.0,BOVENKANT Y10,100.0@4.3 | 120.0@4.3
Profiel 56,20x40,LIGGER,2668.0,BOVENKANT Y10,980.0@4.3 | 1794.0@4.3
Profiel 57,20x40,LIGGER,2668.0,BOVENKANT Y10,980.0@4.3 | 1794.0@4.3
Profiel 58,20x40,LIGGER,2668.0,BOVENKANT Y10,980.0@4.3 | 1794.0@4.3
Profiel 59,20x40,LIGGER,2668.0,BOVENKANT Y10,980.0@4.3 | 1794.0@4.3
Profiel 60,20x40,LIGGER,2668.0,BOVENKANT Y10,980.0@4.3 | 1794.0@4.3
Profiel 61,20x40,LIGGER,2668.0,BOVENKANT Y10,980.0@4.3 | 1794.0@4.3
Profiel 62,20x40,LIGGER,2668.0,BOVENKANT Y10,428.0@4.3 | 1324.0@4.3 | 2018.0@4.3
Profiel 62,20x40,LIGGER,2668.0,ZIJKANT Y10,428.0@4.3 | 876.0@4.3 | 1324.0@4.3
Profiel 62,20x40,LIGGER,2668.0,ZIJKANT Y30,428.0@4.3 | 876.0@4.3 | 1324.0@4.3 | 2018.0@4.3
Profiel 63,20x40,LIGGER,2668.0,ZIJKANT Y10,428.0@4.3 | 876.0@4.3 | 1324.0@4.3 | 1794.0@4.3
Profiel 63,20x40,LIGGER,2668.0,ZIJKANT Y30,428.0@4.3 | 876.0@4.3 | 1324.0@4.3
Profiel 64,20x40,LIGGER,2668.0,ZIJKANT Y10,428.0@4.3 | 876.0@4.3 | 1324.0@4.3 | 1794.0@4.3 | 2240.0@4.3
Profiel 65,20x40,LIGGER,2668.0,ZIJKANT Y10,428.0@4.3 | 876.0@4.3 | 1324.0@4.3 | 1794.0@4.3 | 2240.0@4.3
Profiel 66,20x40,LIGGER,2668.0,ZIJKANT Y10,667.0@4.3 | 876.0@4.3 | 1354.0@4.3 | 1794.0@4.3 | 2001.0@4.3
